Country ,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Pacific island small states,PSS,3594.299891,3686.158,3790.418328,3889.099311,4118.590262,4277.619819,4451.69905,4551.334305,4653.616485,4558.13375,4687.494899
Post-demographic dividend,PST,26805.94282,27762.27842,28727.50382,29642.92471,31242.71473,32767.7336,34872.53508,36581.41349,37491.87437,36485.58812,37773.21256
French Polynesia,PYF,,,,,,,,,,,
Qatar,QAT,86169.39432,88138.42244,92091.2766,91451.60854,101329.4787,97768.57115,107541.4558,109362.5076,111255.9944,108953.6771,117518.7009
Romania,ROU,5848.885376,6521.415379,7162.335654,7551.604779,8982.101337,9602.126199,11544.68273,13686.83097,16782.2321,16635.2298,16966.46061
Russian Federation,RUS,6825.406038,7361.3838,8037.499482,9254.560297,10226.78475,11822.3709,14912.2453,16648.24467,20163.61168,19389.94213,20490.12944
Rwanda,RWA,637.9898128,681.7397558,765.6584963,784.935105,853.7919406,945.5541673,1054.465817,1136.486959,1253.996633,1307.068325,1383.013387
South Asia,SAS,2134.106501,2232.814753,2310.082793,2478.720848,2691.437521,2940.490147,3210.32677,3481.129075,3606.765757,3833.44162,4112.321118
Saudi Arabia,SAU,34440.70584,33886.43082,32527.4347,35787.18204,38515.94714,40726.05788,41927.62125,42654.27419,44945.32113,43119.88439,44498.67574
Sudan,SDN,1845.523341,1953.48384,2053.798124,2191.622001,2273.597495,2450.7385,2702.901009,3011.096455,3220.329656,3262.020338,3327.142295
Senegal,SEN,1923.982135,2007.413896,2003.101585,2123.433736,2251.253122,2389.98818,2458.169034,2579.774467,2664.229276,2667.307426,2718.906572
Singapore,SGP,41662.74367,41000.41843,42886.18105,46342.2965,51612.82421,55809.70032,60745.45587,65230.10844,64230.63596,62873.49475,71565.99973
Solomon Islands,SLB,1445.486229,1323.152188,1271.979025,1344.055352,1411.468426,1497.183034,1611.374058,1735.89457,1853.137465,1737.972509,1832.831573
Sierra Leone,SLE,723.1020523,667.3971627,820.5143366,872.2546754,913.9100037,947.9151529,985.790854,1064.550355,1116.993886,1135.631121,1183.330094
El Salvador,SLV,4466.055172,4573.706426,4691.691143,4827.613517,4977.067139,5246.379551,5614.58149,5847.272164,6088.377821,5981.526531,6152.394745
San Marino,SMR,60124.60568,64038.2942,64432.43081,67251.79035,71286.91179,74272.13113,78463.94477,85274.41008,87290.42012,75725.33716,72075.29692
Somalia,SOM,,,,,,,,,,,
Serbia,SRB,5726.130474,6137.796738,6800.877215,7197.871716,8064.492325,9181.692585,10198.61081,11225.36244,12632.1427,12536.50405,12797.32427
Sub-Saharan Africa (excluding high income),SSA,1983.586291,2063.569163,2172.778238,2251.47457,2402.160849,2562.597327,2729.701316,2910.59023,3047.68188,3093.502025,3223.595898
South Sudan,SSD,,,,,,,,,3166.742744,3203.157961,3286.872034
Sub-Saharan Africa,SSF,1985.14037,2065.070064,2174.266901,2252.846136,2403.475277,2564.05013,2731.306962,2912.381081,3049.39669,3095.157755,3225.323047
Small states,SST,9908.134164,10399.18737,10898.31247,11468.09382,12597.29492,13462.77764,15073.32687,16525.676,17697.84629,17755.27441,18900.65675
Sao Tome and Principe,STP,,1605.192121,1638.861593,1743.923678,1819.323373,1961.42077,2147.582509,2213.778856,2372.815429,2382.691649,2507.202712
Suriname,SUR,7799.400009,8207.121207,8469.853249,9063.396066,9981.176965,10630.65723,11453.18223,12219.65847,12824.43343,13159.25969,13841.41492
Slovak Republic,SVK,11378.14219,12391.15318,13312.20331,14165.4041,15212.45963,16639.39412,18894.40435,21201.85853,23725.85776,23085.33289,25152.7642
Slovenia,SVN,18003.72503,18956.12075,20241.52542,21088.99236,22740.22061,23852.64328,25693.73095,27543.4917,29604.29123,27543.39118,27824.64807
Sweden,SWE,29453.55155,29770.04484,30751.20665,31583.04807,33608.73327,34029.19029,37435.37573,40592.8002,41971.61205,40156.41031,42179.33712
Eswatini,SWZ,4905.545477,5025.168164,5299.747508,5587.107921,5925.264297,6449.37007,7005.219336,7465.187626,7619.630479,7742.410725,8073.511731
Sint Maarten (Dutch part),SXM,,,,,,,,,,31831.67673,33410.67883
Seychelles,SYC,14684.04361,14652.49076,14611.1608,14165.73618,14184.8837,15870.28455,17520.16314,19764.54473,19280.3927,19137.3887,19948.41572
Syrian Arab Republic,SYR,,,,,,,,,,,
Turks and Caicos Islands,TCA,,,,,,,,,,,
Chad,TCD,789.0857645,866.9534573,919.30299,1033.579668,1365.774154,1593.191325,1595.093799,1635.096706,1661.636622,1688.082282,1875.557261
East Asia & Pacific (IDA & IBRD countries),TEA,3331.012877,3591.335921,3893.148167,4267.360653,4727.176096,5292.171888,5975.366075,6807.449207,7455.543491,8011.038644,8818.901912
Europe & Central Asia (IDA & IBRD countries),TEC,6566.383937,6941.132876,7432.373737,8125.530107,9065.238563,10086.07587,11926.1642,13299.00916,15178.62653,14812.69935,15836.4234
Togo,TGO,983.1198991,961.3663774,942.5333391,982.3464571,1004.334487,1020.978317,1065.777629,1089.696751,1125.033908,1164.346278,1216.508967
Thailand,THA,7312.810698,7659.243252,8190.496026,8875.774031,9621.585542,10270.27254,11039.84209,11885.80937,12261.4599,12207.96845,13213.31474
Tajikistan,TJK,943.1371819,1039.08812,1150.196263,1276.807012,1420.907352,1533.305278,1658.496929,1798.807199,1938.442493,1986.596247,2094.538959
Turkmenistan,TKM,4243.798539,4477.728363,4514.82698,4702.340206,5019.026996,5786.876112,6539.938877,7366.385083,8499.066211,8955.280706,9738.983107
Latin America & the Caribbean (IDA & IBRD countries),TLA,8727.970333,8843.647055,8881.614391,9110.019617,9800.707206,10433.92587,11326.51806,12140.30149,12762.78715,12556.00537,13352.70893
Timor-Leste,TLS,2597.769954,2844.860899,2628.765818,2577.720358,4232.660492,5791.984039,8277.114781,8774.681105,9655.649098,8981.084925,8821.211793
Middle East & North Africa (IDA & IBRD countries),TMN,7413.21342,7618.504271,7863.323137,8074.647953,8792.723277,9311.832874,9957.018439,10662.51949,11072.17525,11244.8315,11762.83905
Tonga,TON,3665.902526,3860.989502,4034.236903,4171.913068,4242.379484,4413.484858,4474.59379,4365.824859,4553.276725,4669.997988,4889.298528
South Asia (IDA & IBRD),TSA,2134.106501,2232.814753,2310.082793,2478.720848,2691.437521,2940.490147,3210.32677,3481.129075,3606.765757,3833.44162,4112.321118
Sub-Saharan Africa (IDA & IBRD countries),TSS,1985.14037,2065.070064,2174.266901,2252.846136,2403.475277,2564.05013,2731.306962,2912.381081,3049.39669,3095.157755,3225.323047
Trinidad and Tobago,TTO,14590.83383,15477.72714,16896.24604,19597.94841,21615.02249,23555.7148,27346.16638,29283.36361,30724.79466,29454.02792,30620.1748
Tunisia,TUN,6021.264395,6331.13635,6465.27773,6843.692211,7408.824855,7839.868116,8421.998833,9135.799881,9605.921377,9868.305639,10227.32596
Turkey,TUR,9583.78065,9215.131989,9329.813176,9603.880437,10860.05874,11887.86395,13621.46548,14849.32529,16053.80379,15489.87192,17425.86136
Tuvalu,TUV,2428.493554,2498.379457,2706.083826,2628.841103,2624.523401,2569.873659,2672.208254,2889.413134,3152.091628,3003.298324,2925.616097
Tanzania,TZA,1245.069474,1314.909847,1392.131445,1470.929684,1578.693473,1700.950077,1815.144391,1934.752743,2026.252856,2088.519946,2182.374747
Uganda,UGA,849.103967,885.0605616,947.3411238,995.2352113,1057.383445,1123.213095,1242.210442,1339.980495,1438.876731,1500.178502,1552.93584
Ukraine,UKR,3817.510547,4303.35667,4646.840744,5225.772428,6062.087656,6485.633061,7227.729835,8033.265679,8423.700146,7267.415871,7664.396582
Upper middle income,UMC,5419.379683,5685.945148,5999.113089,6426.217867,7093.957643,7829.773016,8834.500571,9858.6181,10778.05952,11076.71832,12005.33229
Uruguay,URY,10249.7381,10054.52709,9422.245715,9681.415106,10446.4655,11574.32289,12399.89304,13540.07137,14756.47578,15456.18466,16808.28488
United States,USA,36334.90878,37133.24281,38023.16111,39496.48588,41712.80107,44114.74778,46298.73144,47975.96768,48382.55845,47099.98047,48466.82338
Uzbekistan,UZB,2499.496162,2627.207489,2741.054692,2876.463685,3137.531025,3420.094331,3740.23256,4145.109337,4533.914272,4853.690566,5136.234068
St. Vincent and the Grenadines,VCT,6018.054836,6248.683949,6736.242394,7373.343424,7873.038743,8312.448941,9223.366048,9795.376157,10155.83137,10028.25893,9807.792586
"Venezuela, RB",VEN,11609.45843,12040.82557,10946.51197,10103.47423,12062.7375,13495.61258,15038.96211,16549.8039,17512.66493,16840.28222,16541.55868
British Virgin Islands,VGB,,,,,,,,,,,
Virgin Islands (U.S.),VIR,,,,,,,,,,,
Vietnam,VNM,2048.363759,2200.02024,2353.000468,2538.163204,2777.246874,3051.608497,3332.143253,3631.182562,3874.039234,4074.18424,4342.751917
Vanuatu,VUT,2247.43859,2166.861084,2037.99834,2110.139082,2196.248102,2326.010727,2537.567155,2676.832698,2837.237368,2882.471224,2888.738336
World,WLD,7986.020966,8260.908486,8552.194532,8917.190394,9519.452015,10132.56139,10959.07067,11721.8335,12260.65738,12232.98526,12876.52253
Samoa,WSM,3487.169815,3790.586688,3994.694834,4226.80407,4513.226983,4816.581754,5027.896853,5454.115605,5579.016217,5313.757658,5360.970497
Kosovo,XKX,3688.088054,4782.379635,4820.69745,5200.329414,5476.113407,5983.3044,6390.420478,6983.8792,7249.40936,7506.89862,7782.875107
"Yemen, Rep.",YEM,3181.383522,3278.903531,3363.240378,3452.738165,3581.824687,3789.889382,3915.384569,4038.655597,4148.556849,4221.413776,4472.726448
South Africa,ZAF,7719.255957,7994.262425,8315.442736,8613.587442,9136.414314,9796.154549,10524.34606,11240.26037,11667.84983,11416.00169,11728.16049
Zambia,ZMB,1691.967387,1773.963693,1835.247757,1948.531639,2087.213343,2248.465939,2434.454195,2637.277877,2819.650593,3017.024571,3269.794329
Zimbabwe,ZWE,2344.271146,2421.530752,2235.360895,1885.511354,1818.104977,1759.358119,1738.51425,1705.901346,1417.507098,1581.161558,1888.566739
